age,cohort,model_prop_f,model_prop_m
16,1986.0,0.1715686274509804,0.0
17,1986.0,0.29931305201177627,0.0027347310847766638
18,1986.0,0.4183070866141732,0.012785388127853882
19,1986.0,0.5824284304047384,0.039269406392694065
20,1986.0,0.6518298714144412,0.10714285714285714
21,1986.0,0.7073412698412699,0.23761467889908258
22,1986.0,0.8575697211155379,0.4097605893186004
23,1986.0,0.983016983016983,0.5876383763837638
24,1986.0,0.98998998998999,0.7321799307958478
25,1986.0,0.998998998998999,0.0
26,1986.0,0.9989949748743718,0.0
27,1986.0,1.0,0.0
28,1986.0,1.0,0.0
29,1986.0,1.0,0.0
30,1986.0,1.0,0.0
12,1987.0,0.0019230769230769232,0.0
13,1987.0,0.005774783445620789,0.0
14,1987.0,0.010607521697203472,0.0
15,1987.0,0.03667953667953668,0.0
16,1987.0,0.1335914811229429,0.0
17,1987.0,0.2502424830261882,0.0026954177897574125
18,1987.0,0.4314868804664723,0.01079136690647482
19,1987.0,0.5374878286270691,0.04954954954954955
20,1987.0,0.6962890625,0.10749774164408311
21,1987.0,0.7627450980392156,0.22826086956521738
22,1987.0,0.9754420432220039,0.41379310344827586
23,1987.0,0.9940828402366864,0.5860400829302004
24,1987.0,0.9960474308300395,0.0
25,1987.0,0.998017839444995,0.0
26,1987.0,0.9990059642147118,0.0
27,1987.0,1.0,0.0
28,1987.0,1.0,0.0
29,1987.0,1.0,0.0
30,1987.0,1.0,0.0
12,1988.0,0.0009363295880149813,0.0
13,1988.0,0.0009380863039399625,0.0
14,1988.0,0.011267605633802818,0.0
15,1988.0,0.060206961429915336,0.0
16,1988.0,0.12441093308199812,0.0
17,1988.0,0.32514177693761814,0.0017467248908296944
18,1988.0,0.4365530303030303,0.011373578302712161
19,1988.0,0.5859449192782527,0.0412280701754386
20,1988.0,0.7161904761904762,0.11072056239015818
21,1988.0,0.9093511450381679,0.22955145118733508
22,1988.0,0.9779904306220095,0.41793103448275865
23,1988.0,0.9932821497120922,0.0
24,1988.0,0.9990384615384615,0.0
25,1988.0,1.0,0.0
26,1988.0,1.0,0.0
27,1988.0,1.0,0.0
28,1988.0,1.0,0.0
29,1988.0,1.0,0.0
30,1988.0,1.0,0.0
12,1989.0,0.0,0.0
13,1989.0,0.00463821892393321,0.0
14,1989.0,0.017641597028783658,0.0
15,1989.0,0.05865921787709497,0.0
16,1989.0,0.17350746268656717,0.0008598452278589854
17,1989.0,0.288785046728972,0.0034482758620689655
18,1989.0,0.45743685687558466,0.016407599309153715
19,1989.0,0.5958646616541353,0.04498269896193772
20,1989.0,0.6619585687382298,0.10138648180242635
21,1989.0,0.8716981132075472,0.22451790633608815
22,1989.0,0.967833491012299,0.0
23,1989.0,0.9933649289099526,0.0
24,1989.0,1.0,0.0
25,1989.0,1.0,0.0
26,1989.0,1.0,0.0
27,1989.0,1.0,0.0
28,1989.0,1.0,0.0
29,1989.0,1.0,0.0
30,1989.0,1.0,0.0
12,1990.0,0.0,0.0
13,1990.0,0.006381039197812215,0.0
14,1990.0,0.02281021897810219,0.0
15,1990.0,0.049315068493150684,0.0
16,1990.0,0.12168344007319305,0.0
17,1990.0,0.30275229357798167,0.001692047377326565
18,1990.0,0.5032198712051518,0.01100762066045724
19,1990.0,0.5723502304147465,0.04838709677419355
20,1990.0,0.6565096952908587,0.10453920220082531
21,1990.0,0.8869323447636701,0.0
22,1990.0,0.989786443825441,0.0
23,1990.0,0.9962721342031687,0.0
24,1990.0,0.9981325863678805,0.0
25,1990.0,0.9990592662276576,0.0
26,1990.0,1.0,0.0
27,1990.0,1.0,0.0
28,1990.0,1.0,0.0
29,1990.0,1.0,0.0
30,1990.0,1.0,0.0
12,1991.0,0.0017730496453900709,0.0
13,1991.0,0.0053285968028419185,0.0
14,1991.0,0.015985790408525755,0.0
15,1991.0,0.045454545454545456,0.0
16,1991.0,0.175,0.0
17,1991.0,0.3488372093023256,0.0049382716049382715
18,1991.0,0.44484304932735425,0.014014839241549877
19,1991.0,0.5498652291105122,0.03909465020576132
20,1991.0,0.6471647164716472,0.0
21,1991.0,0.881768953068592,0.0
22,1991.0,0.9882246376811594,0.0
23,1991.0,0.9945602901178604,0.0
24,1991.0,0.9990884229717412,0.0
25,1991.0,1.0,0.0
26,1991.0,1.0,0.0
27,1991.0,1.0,0.0
28,1991.0,0.9972273567467652,0.0
29,1991.0,1.0,0.0
