years,total,cleared,persisted,progressed,cancer,dead
43.75,37635616.0,37254280.0,191024.453125,51596.671875,15336.4091796875,123384.8515625
44.0,37635616.0,37256376.0,189632.96875,50536.9140625,15009.001953125,124065.5078125
44.25,37635616.0,37258496.0,187000.8125,50579.9921875,14957.306640625,124586.765625
44.5,37635616.0,37259324.0,184338.46875,52014.546875,14815.142578125,125129.578125
44.75,37635616.0,37261848.0,184304.0,49128.203125,14664.36328125,125676.6875
45.0,37635616.0,37262696.0,182977.140625,49222.98046875,14500.66015625,126219.5
45.25,37635616.0,37263096.0,181232.40625,50200.890625,14259.4130859375,126831.234375
45.5,37635616.0,37265208.0,178587.3125,50364.59765625,14052.6298828125,127404.1875
45.75,37635616.0,37266888.0,177695.5625,49218.671875,13802.767578125,128011.6171875
46.0,37635616.0,37268580.0,174628.28125,50269.8203125,13527.056640625,128614.734375
46.25,37635616.0,37269420.0,172857.703125,50855.703125,13346.12109375,129140.3125
46.5,37635616.0,37270672.0,169820.578125,52307.49609375,13195.34375,129627.109375
46.75,37635616.0,37273652.0,168476.484375,50317.20703125,13070.412109375,130105.296875
47.0,37635616.0,37274496.0,165865.859375,51704.375,12988.560546875,130566.25
47.25,37635616.0,37275328.0,164560.53125,51898.234375,12734.388671875,131100.4375
47.5,37635616.0,37276144.0,162794.28125,52458.2734375,12618.07421875,131604.46875
47.75,37635616.0,37279128.0,160592.890625,51372.66015625,12415.5986328125,132108.515625
48.0,37635616.0,37280824.0,159257.421875,50653.2265625,12290.6669921875,132595.3125
48.25,37635616.0,37283384.0,158361.34375,48671.5546875,12126.962890625,133077.8125
48.5,37635616.0,37284228.0,157473.90625,48482.0078125,11907.255859375,133530.140625
48.75,37635616.0,37285896.0,156586.46875,47417.9375,11678.93359375,134038.484375
49.0,37635616.0,37286720.0,154393.71875,48451.8515625,11532.4619140625,134525.296875
49.25,37635616.0,37287544.0,153932.75,47797.03515625,11338.6025390625,135007.78125
49.5,37635616.0,37289256.0,151322.125,48344.1484375,11304.138671875,135395.5
49.75,37635616.0,37291808.0,150869.78125,45961.8359375,11118.8955078125,135865.0625
50.0,37635616.0,37293496.0,149986.640625,44828.83984375,11002.5810546875,136308.796875
50.25,37635616.0,37295208.0,148642.5625,44174.02734375,10851.802734375,136748.203125
50.5,37635616.0,37296040.0,147311.375,44398.0390625,10726.87109375,137144.546875
50.75,37635616.0,37297736.0,146846.125,42898.8671875,10580.3994140625,137562.421875
