age,cohort,model_prop_f,model_prop_m
26,1996.0,0.9378029079159935,0.0
27,1996.0,0.9376518218623482,0.0
28,1996.0,0.9935064935064936,0.0
29,1996.0,0.9959316517493898,0.0
30,1996.0,0.9967400162999185,0.0
12,1997.0,0.03084040092521203,0.0
13,1997.0,0.051737451737451735,0.0
14,1997.0,0.09976798143851508,0.0
15,1997.0,0.15259488768396592,0.0
16,1997.0,0.2335143522110163,0.0
17,1997.0,0.2747081712062257,0.0
18,1997.0,0.35647425897035884,0.0
19,1997.0,0.4488680718188915,0.0
20,1997.0,0.49960906958561374,0.0
21,1997.0,0.5920125293657008,0.0
22,1997.0,0.6956862745098039,0.0
23,1997.0,0.7925867507886435,0.0
24,1997.0,0.8718354430379747,0.0
25,1997.0,0.9110405083399523,0.0
26,1997.0,0.9277204130262113,0.0
27,1997.0,0.9856801909307876,0.0
28,1997.0,0.99122106943336,0.0
29,1997.0,0.9927942353883107,0.0
30,1997.0,0.9943910256410257,0.0
12,1998.0,0.019741837509491267,0.0
13,1998.0,0.05555555555555555,0.0
14,1998.0,0.09444021325209444,0.0
15,1998.0,0.12576219512195122,0.0
16,1998.0,0.1660290742157613,0.0
17,1998.0,0.2563121652639633,0.0
18,1998.0,0.35095785440613025,0.0
19,1998.0,0.4036838066001535,0.0
20,1998.0,0.5184899845916795,0.0
21,1998.0,0.633693972179289,0.0
22,1998.0,0.7385570209464701,0.0
23,1998.0,0.8326848249027238,0.0
24,1998.0,0.8704137392661982,0.0
25,1998.0,0.8857589984350548,0.0
26,1998.0,0.9583660644147682,0.0
27,1998.0,0.974822974036192,0.0
28,1998.0,0.9803149606299213,0.0
29,1998.0,0.9810576164167324,0.0
30,1998.0,0.9841772151898734,0.0
12,1999.0,0.023791250959324637,0.0
13,1999.0,0.05069124423963134,0.0
14,1999.0,0.07686395080707148,0.0
15,1999.0,0.1147036181678214,0.0
16,1999.0,0.16037008481110254,0.0
17,1999.0,0.2646604938271605,0.0
18,1999.0,0.3209590100541377,0.0
19,1999.0,0.458559256390395,0.0
20,1999.0,0.5407292474786657,0.0
21,1999.0,0.6435257410296412,0.0
22,1999.0,0.7743950039032006,0.0
23,1999.0,0.8301886792452831,0.0
24,1999.0,0.8522012578616353,0.0
25,1999.0,0.8544453186467349,0.0
26,1999.0,0.8879242304656669,0.0
27,1999.0,0.9533596837944665,0.0
28,1999.0,0.9580031695721077,0.0
29,1999.0,0.9610802223987291,0.0
30,1999.0,0.9880668257756563,0.0
12,2000.0,0.024868123587038434,0.0
13,2000.0,0.050489826676714394,0.0
14,2000.0,0.07767722473604827,0.0
15,2000.0,0.11773584905660377,0.0
16,2000.0,0.20468277945619334,0.0
17,2000.0,0.27403482210446634,0.0
18,2000.0,0.4009111617312073,0.0
19,2000.0,0.4828897338403042,0.0
20,2000.0,0.533231474407945,0.0
21,2000.0,0.6397849462365591,0.0
22,2000.0,0.75115562403698,0.0
23,2000.0,0.7808641975308642,0.0
24,2000.0,0.783011583011583,0.0
25,2000.0,0.8368136117556071,0.0
26,2000.0,0.8906128782001551,0.0
27,2000.0,0.8997668997668997,0.0
28,2000.0,0.9081712062256809,0.0
29,2000.0,0.9602803738317757,0.0
30,2000.0,0.9953051643192489,0.0
12,2001.0,0.019736842105263157,0.0
13,2001.0,0.03812316715542522,0.0
14,2001.0,0.07410124724871607,0.0
15,2001.0,0.115356355620867,0.0
16,2001.0,0.1714495952906549,0.0
17,2001.0,0.2994100294985251,0.0
18,2001.0,0.38404726735598227,0.0
19,2001.0,0.4537379718726869,0.0
20,2001.0,0.48104089219330853,0.0
21,2001.0,0.5040953090096798,0.0
22,2001.0,0.5916542473919523,0.0
23,2001.0,0.5952203136669156,0.0
24,2001.0,0.69812734082397,0.0
25,2001.0,0.7306826706676669,0.0
26,2001.0,0.7766917293233083,0.0
27,2001.0,0.8001508295625943,0.0
28,2001.0,0.9193061840120663,0.0
29,2001.0,0.9871504157218443,0.0
30,2001.0,0.9947009841029523,0.0
12,2002.0,0.013960323291697281,0.0
13,2002.0,0.041116005873715125,0.0
14,2002.0,0.07861866274797942,0.0
15,2002.0,0.1125,0.0
16,2002.0,0.18349299926308033,0.0
17,2002.0,0.2863468634686347,0.0
18,2002.0,0.3559822747415066,0.0
19,2002.0,0.3772189349112426,0.0
20,2002.0,0.4536693847294292,0.0
21,2002.0,0.5222882615156018,0.0
22,2002.0,0.5271779597915115,0.0
23,2002.0,0.6341281669150521,0.0
24,2002.0,0.673134328358209,0.0
25,2002.0,0.7490636704119851,0.0
26,2002.0,0.8031555221637866,0.0
27,2002.0,0.927122464312547,0.0
28,2002.0,0.9887133182844243,0.0
29,2002.0,0.995475113122172,0.0
30,2002.0,0.9977341389728097,0.0
